"YEAR","MONTH","DAY","TMAX","TMIN","TOBS","PRCP","SX32","SN32","SX33","SN33","SX35","SN35"
"2017","10","23","76","53","62","0","67","61","66","63","68","67"
"2017","10","24","84","51","73","0","69","63","68","64","68","67"
"2017","10","25","89","52","62","0","70","64","68","65","69","68"
"2017","10","26","87","50","60","0","70","64","69","66","69","68"
"2017","10","27","88","51","62","0","70","64","69","66","69","68"
"2017","10","29","88","47","61","0","70","64","68","65","69","68"
"2017","10","30","82","48","53","0","69","64","68","65","69","68"
"2017","10","31","70","41","49","0","68","62","67","65","69","68"
"2017","11","1","71","43","50","0","66","61","66","64","68","67"
"2017","11","2","71","48","51","0","66","61","66","63","68","66"
"2017","11","3","69","51","57","0","64","61","65","63","67","66"
"2017","11","5","67","37","49","0","64","57","64","61","66","65"
"2017","11","6","61","42","47","0","62","57","62","60","66","65"
"2017","11","7","64","38","48","0","62","55","61","58","65","64"
"2017","11","8","65","42","48","0","60","55","60","58","64","63"
"2017","11","9","62","48","56","0.25","59","55","59","57","63","62"
"2017","11","10","69","52","55","0.01","61","58","61","58","63","62"
"2017","11","11","68","40","51","0.01","61","57","61","59","63","62"
"2017","11","12","66","43","56","0","61","56","60","58","63","62"
"2017","11","13","66","48","54","0","60","56","60","58","63","62"
"2017","11","14","69","41","48","0","61","57","61","58","63","61"
"2017","11","15","65","47","50","0.14","61","57","60","59","63","62"
"2017","11","16","58","50","55","0.85","59","57","59","58","62","61"
"2017","11","17","58","47","49","0.06","59","57","60","59","62","61"
"2017","11","18","60","40","50","0","59","53","59","55","62","61"
"2017","11","19","62","35","46","0","56","51","56","54","61","60"
"2017","11","20","60","39","54","0","54","50","55","53","60","59"
"2017","11","21","58","50","52","0.01","56","54","57","55","59","59"
"2017","11","22","66","49","55","0.01","58","54","58","55","60","59"
"2017","11","23","67","49","52","0","58","55","58","56","60","59"
"2017","11","24","64","50","54","0","58","55","58","57","60","59"
"2017","11","25","67","51","53","0","60","56","59","57","60","59"
"2017","11","26","62","53","61","0","59","57","59","57","60","59"
"2017","11","27","63","46","49","0.13","59","56","59","58","60","60"
"2017","11","28","59","38","41","0","58","53","59","56","61","60"
"2017","11","29","63","41","48","0.01","56","52","56","54","60","59"
"2017","11","30","63","39","42","0","55","51","55","53","59","58"
"2017","12","1","63","35","40","0","54","49","54","52","58","57"
"2017","12","2","65","37","44","0","53","49","53","51","57","57"
"2017","12","3","59","42","54","0","52","48","53","51","57","56"
"2017","12","4","59","45","47","0","53","49","53","51","56","56"
"2017","12","5","61","47","50","0","51","48","52","51","56","55"
